"bilanzkreis_id","building_id","lat","lon","beschreibung","strasse","plz","stadt"
"160","165",50.798955,6.153947,"KITA Gut-Knapp-Straße","Gut-Knapp-Straße 1a","52080","Aachen"
"122","152",50.764221,6.111829,"KITA Im Grüntal","Im Grüntal 47 A","52066","Aachen"
"267","648",50.760381,6.109919,"KITA In den Küpperbenden","In den Küpperbenden 2","52066","Aachen"
"109","154",50.775309,6.07711,"KITA Johanniterstraße","Johanniterstraße 4a","52064","Aachen"
"106","156",50.758663,6.141579,"KITA Johannstraße","Johannstraße 15","52078","Aachen"
"174","141",50.768164,6.056046,"KITA Kronenberg","Kronenberg 132","52074","Aachen"
"176","179",50.749955,6.137057,"KITA Königsberger Straße","Königsberger Straße 100","52078","Aachen"
"260","143",50.775965,6.158521,"KITA Lindenstraße","Lindenstraße 27","52080","Aachen"
"184","146",50.772749,6.071311,"KITA Lochnerstraße","Lochnerstraße 60","52064","Aachen"
"208","147",50.767258,6.078979,"KITA Mariabrunnstarße","Mariabrunnstraße 17","52064","Aachen"
"216","629",50.770025,6.122054,"KITA Matarestr.","Mataréstraße 9","52078","Aachen"
"238","711",50.723011,6.141097,"KITA Oberforstbacher Straße","Oberforstbacher Straße 332a","52076","Aachen"
"240","148",50.810409,6.065919,"KITA Parkstraße","Parkstraße 130","52072","Aachen"
"241","47",50.780338,6.098339,"KITA Paßstraße 10","Passstraße 10","52070","Aachen"
"243","337",50.786005,6.095978,"KITA Paßstraße 123","Passstraße 123","52070","Aachen"
"242","17",50.780712,6.098023,"KITA Paßstraße 25+27","Passstraße 25","52070","Aachen"
